ID,Type,Lat,Lng,Time,Place
ID_78s30yaax,Recycle,41.1296754,24.859796,"2/19/2026, 2:19:21 PM",XRYSA
ID_hwzqfwxz0,Trash,41.1296754,24.859796,"2/19/2026, 2:19:22 PM",XRYSA
ID_p20ltz9ee,Trash,41.1296754,24.859796,"2/19/2026, 2:19:22 PM",XRYSA
ID_pcjmlbdph,Trash,41.1288058,24.8604453,"2/19/2026, 2:22:12 PM",XRYSA
ID_h970itz43,Trash,41.1288058,24.8604453,"2/19/2026, 2:22:12 PM",XRYSA
ID_qydu99ndr,Recycle,41.1278959,24.8635632,"2/19/2026, 2:25:31 PM",XRYSA
ID_76s4kxoxg,Trash,41.1278959,24.8635632,"2/19/2026, 2:25:32 PM",XRYSA
ID_0x22xtsew,Trash,41.1264947,24.8621384,"2/19/2026, 2:26:08 PM",XRYSA
ID_28acifgkx,Trash,41.1264947,24.8621384,"2/19/2026, 2:26:09 PM",XRYSA
ID_7cegx8xo5,Trash,41.1248943,24.860506,"2/19/2026, 2:26:58 PM",XRYSA
ID_magrb5otq,Trash,41.1248943,24.860506,"2/19/2026, 2:26:59 PM",XRYSA
ID_xpdkoasc5,Recycle,41.1248903,24.8603096,"2/19/2026, 2:27:04 PM",XRYSA
ID_n0iwm34dp,Recycle,41.1248903,24.8603096,"2/19/2026, 2:27:04 PM",XRYSA
ID_ajutpsag1,Recycle,41.1249109,24.8596938,"2/19/2026, 2:29:09 PM",XRYSA
ID_ulqww3dtp,Trash,41.1249109,24.8596938,"2/19/2026, 2:29:09 PM",XRYSA
ID_c8g56fo85,Trash,41.1249109,24.8596938,"2/19/2026, 2:29:10 PM",XRYSA
ID_rz2d3yi8m,Trash,41.1255275,24.8598928,"2/19/2026, 2:29:24 PM",XRYSA
ID_rzbk6v89i,Trash,41.1255275,24.8598928,"2/19/2026, 2:29:24 PM",XRYSA
ID_sjwttvs2f,Recycle,41.1254396,24.8598618,"2/19/2026, 2:29:27 PM",XRYSA
ID_t01u2vhk2,Recycle,41.1254396,24.8598618,"2/19/2026, 2:29:27 PM",XRYSA
ID_s9pmgslxz,Trash,41.1263424,24.860563,"2/19/2026, 2:29:56 PM",XRYSA
ID_6cbsm3ee9,Trash,41.1277279,24.8595247,"2/19/2026, 2:32:28 PM",XRYSA
ID_gvvj8vvp9,Trash,41.1278365,24.8574122,"2/19/2026, 2:35:22 PM",XRYSA
ID_ne15wv9yl,Trash,41.1279258,24.8542644,"2/19/2026, 2:36:31 PM",XRYSA
ID_335enhj1c,Trash,41.1262887,24.8569182,"2/19/2026, 2:37:52 PM",XRYSA
ID_mui9f94qx,Trash,41.1271362,24.8588982,"2/19/2026, 2:38:33 PM",XRYSA
ID_g6y8hqtdd,Trash,41.1271362,24.8588982,"2/19/2026, 2:38:33 PM",XRYSA
ID_ju20su44y,Trash,41.1271362,24.8588982,"2/19/2026, 2:38:34 PM",XRYSA
ID_y79vyk06z,Trash,41.1260969,24.8591895,"2/19/2026, 2:39:30 PM",XRYSA
ID_xcbwnqs2u,Trash,41.1260969,24.8591895,"2/19/2026, 2:39:31 PM",XRYSA
ID_b60y4oqy4,Trash,41.1260969,24.8591895,"2/19/2026, 2:39:31 PM",XRYSA
